RegionType,RegionCode,Category,AgeKey,Gender,PoolType,Style,Distance,Time,HolderName,Club,HolderCountry,RecordDate
country,ISR,age,10,female,25m,backstroke,100m,01:15.71,איה גליל,מכבי כפר המכבייה,ISR,29/10/2021
country,ISR,age,10,female,25m,backstroke,200m,02:45.46,עדי כהן,מכבי אשדוד,ISR,30/12/1995
country,ISR,age,10,female,25m,backstroke,50m,35.64,עדי כהן,מכבי אשדוד,ISR,30/12/1995
country,ISR,age,10,female,25m,breaststroke,100m,01:26.21,עדי ביכמן,הפועל גבעתיים,ISR,24/12/1993
country,ISR,age,10,female,25m,breaststroke,200m,03:07.98,קרינה סוקולוב,הפועל באר שבע,ISR,14/12/2009
country,ISR,age,10,female,25m,breaststroke,50m,39.85,ענת זימין,הפועל בת ים,ISR,22/12/2003
country,ISR,age,10,female,25m,butterfly,100m,01:14.61,ענת זימין,הפועל בת ים,ISR,27/12/2003
country,ISR,age,10,female,25m,butterfly,200m,02:43.84,אנג׳לה זאבורויב,הפועל דולפין נתניה,ISR,26/11/2022
country,ISR,age,10,female,25m,butterfly,50m,32.88,ענת זימין,הפועל בת ים,ISR,24/05/2003
country,ISR,age,10,female,25m,freestyle,100m,01:04.79,ענת זימין,הפועל בת ים,ISR,26/12/2003
country,ISR,age,10,female,25m,freestyle,200m,02:22.81,אנג׳לה זאבורויב,הפועל דולפין נתניה,ISR,26/11/2022
country,ISR,age,10,female,25m,freestyle,400m,05:22.16,דריה גולובטי,הפועל בת ים,ISR,09/12/2015
country,ISR,age,10,female,25m,freestyle,4X50m,02:20.20,מכבי,קרית-ביאליק,ISR,24/12/1995
country,ISR,age,10,female,25m,freestyle,50m,29.76,ענת זימין,הפועל בת ים,ISR,26/12/2003
country,ISR,age,10,female,25m,individual_medley,100m,01:16.70,ענת זימין,הפועל בת ים,ISR,24/12/2003
country,ISR,age,10,female,25m,individual_medley,200m,02:40.29,ענת זימין,הפועל בת ים,ISR,27/12/2003
country,ISR,age,10,female,25m,individual_medley,400m,05:52.24,עדן פסקרה,מכבי פ.מ. רעות,ISR,23/12/2010
country,ISR,age,10,female,25m,individual_medley,4X50m,02:33.30,מכבי,קרית ביאליק,ISR,24/12/1995
country,ISR,age,10,female,50m,backstroke,100m,01:21.65,מיקה שלזינגר,בני-הרצליה,ISR,28/07/2000
country,ISR,age,10,female,50m,backstroke,200m,02:51.15,איה גליל,מכבי כפר המכביה,ISR,02/08/2021
country,ISR,age,10,female,50m,backstroke,50m,34.08,מירה מירוסלבה אושקובה,הפועל דולפין נתניה,ISR,20/07/2025
country,ISR,age,10,female,50m,breaststroke,100m,01:28.05,יעל נרודיצקי,הפועל דולפין נהריה,ISR,31/07/2006
country,ISR,age,10,female,50m,breaststroke,200m,03:10.73,יעל נרודיצקי,הפועל דולפין נהריה,ISR,01/08/2006
country,ISR,age,10,female,50m,breaststroke,50m,41.13,מרסי אן נגירה,בני הרצליה,ISR,05/06/2015
country,ISR,age,10,female,50m,butterfly,100m,01:16.05,ענת זימין,הפועל בת-ים,ISR,30/07/2003
country,ISR,age,10,female,50m,butterfly,200m,03:06.52,לי ראובני,,ISR,03/08/1999
country,ISR,age,10,female,50m,butterfly,50m,34.27,ענת זימין,הפועל בת-ים,ISR,25/04/2003
country,ISR,age,10,female,50m,freestyle,100m,01:07.83,ענת זימין,הפועל בת ים,ISR,30/07/2003
country,ISR,age,10,female,50m,freestyle,200m,02:28.90,ענת זימין,הפועל בת-ים,ISR,26/04/2003
country,ISR,age,10,female,50m,freestyle,400m,05:08.32,ענת זימין,הפועל בת-ים,ISR,31/07/2003
country,ISR,age,10,female,50m,freestyle,4X50m,02:24.26,,מכבי קרית אונו,ISR,
country,ISR,age,10,female,50m,freestyle,50m,31.18,ענת זימין,הפועל בת-ים,ISR,29/07/2003
country,ISR,age,10,female,50m,individual_medley,200m,02:45.00,ענת זימין,הפועל בת-ים,ISR,31/07/2003
