RegionType,RegionCode,Category,AgeKey,Gender,PoolType,Style,Distance,Time,HolderName,Club,HolderCountry,RecordDate
country,ISR,masters,25-29,female,25m,backstroke,100m,01:08.15,שפייזר טל,הפועל ירושלים ניו-יורק,ISR,08/12/2009
country,ISR,masters,25-29,female,25m,backstroke,200m,02:25.75,שפייזר טל,הפועל ירושלים ניו-יורק,ISR,08/12/2009
country,ISR,masters,25-29,female,25m,backstroke,50m,31.87,שפייזר טל,"הפועל ירושלים ארה""ב",ISR,
country,ISR,masters,25-29,female,25m,breaststroke,100m,01:19.46,שץ מיקה,הפועל גליל-עליון עין גדי,ISR,18/03/2011
country,ISR,masters,25-29,female,25m,breaststroke,200m,02:50.41,עדן דנה,הפועל עולם המים בית-אייל,ISR,12/02/2010
country,ISR,masters,25-29,female,25m,breaststroke,50m,36.50,שץ מיקה,הפועל גליל-עליון עין גדי,ISR,18/03/2011
country,ISR,masters,25-29,female,25m,butterfly,100m,01:06.94,קרטין ליהי,עולם המים לאומית,ISR,
country,ISR,masters,25-29,female,25m,butterfly,200m,02:40.42,צהרי מיכל,ירושלים,ISR,20/10/2000
country,ISR,masters,25-29,female,25m,butterfly,50m,29.94,אלוני סהר,הפועל עמק-חפר,ISR,20/10/2000
country,ISR,masters,25-29,female,25m,freestyle,100m,59.52,בנפשי ענת,עולם המים לאומית,ISR,19/03/2021
country,ISR,masters,25-29,female,25m,freestyle,1500m,21:58.60,גורנשטיין קארן,בני הרצליה וינגייט,ISR,21/02/2015
country,ISR,masters,25-29,female,25m,freestyle,200m,02:10.25,בכר עמית,מכבי פ.מ. רעות לאומית וינגייט,ISR,06/01/2017
country,ISR,masters,25-29,female,25m,freestyle,400m,04:44.40,בנפשי ענת,עולם המים לאומית,ISR,19/03/2021
country,ISR,masters,25-29,female,25m,freestyle,50m,27.81,בנפשי ענת,מכבי עולם המים לאומית,ISR,19/03/2021
country,ISR,masters,25-29,female,25m,freestyle,800m,09:25.23,בכר עמית,מכבי פ.מ. רעות לאומית,ISR,07/01/2017
country,ISR,masters,25-29,female,25m,individual_medley,100m,01:12.53,פאור עדינה,הפועל ירושלים גבעת חיים,ISR,15/06/2002
