RegionType,RegionCode,Category,AgeKey,Gender,PoolType,Style,Distance,Time,HolderName,Club,HolderCountry,RecordDate
world,,junior,14-17,female,25m,backstroke,100m,55.75,Bella Sims,,USA,04/11/2022
world,,junior,14-17,female,25m,backstroke,200m,01:59.96,Summer Mcintosh,,CAN,15/12/2024
world,,junior,14-17,female,25m,backstroke,50m,25.95,Mizuki Hirai,,JPN,18/10/2025
world,,junior,14-17,female,25m,breaststroke,100m,01:02.36,Ruta Meilutyte,,LTU,12/10/2013
world,,junior,14-17,female,25m,breaststroke,200m,02:14.70,Evgeniia Chikunova,,RUS,25/11/2022
world,,junior,14-17,female,25m,breaststroke,50m,28.81,Benedetta Pilato,,ITA,21/11/2020
world,,junior,14-17,female,25m,butterfly,100m,55.30,Mizuki Hirai,,JPN,20/12/2025
world,,junior,14-17,female,25m,butterfly,200m,01:59.32,Summer Mcintosh,,CAN,12/12/2024
world,,junior,14-17,female,25m,butterfly,50m,24.55,Claire Curzan,,USA,19/12/2021
world,,junior,14-17,female,25m,freestyle,100m,51.45,Kayla Sanchez,,CAN,14/12/2018
world,,junior,14-17,female,25m,freestyle,1500m,15:42.05,Katie Grimes,,USA,04/11/2022
world,,junior,14-17,female,25m,freestyle,200m,01:51.62,Claire Weinstein,,USA,15/12/2024
world,,junior,14-17,female,25m,freestyle,400m,03:50.25,Summer Mcintosh,,CAN,10/12/2024
world,,junior,14-17,female,25m,freestyle,50m,23.66,Eva Okaro,,GBR,15/12/2024
world,,junior,14-17,female,25m,freestyle,800m,07:59.44,Jianjiahe Wang,,CHN,06/10/2018
world,,junior,14-17,female,25m,individual_medley,100m,57.59,Anastasiya Shkurdai,,BLR,22/11/2020
world,,junior,14-17,female,25m,individual_medley,200m,02:04.48,Yiting Yu,,CHN,20/12/2021
world,,junior,14-17,female,25m,individual_medley,400m,04:15.48,Summer Mcintosh,,CAN,14/12/2024
world,,junior,14-17,female,50m,backstroke,100m,57.57,Regan Smith,,USA,28/07/2019
world,,junior,14-17,female,50m,backstroke,200m,02:03.35,Regan Smith,,USA,26/07/2019
world,,junior,14-17,female,50m,backstroke,50m,27.49,Minna Atherton,,AUS,29/01/2016
world,,junior,14-17,female,50m,breaststroke,100m,01:04.35,Ruta Meilutyte,,LTU,29/07/2013
world,,junior,14-17,female,50m,breaststroke,200m,02:19.64,Viktoria Gunes,,TUR,30/08/2015
world,,junior,14-17,female,50m,breaststroke,50m,29.30,Benedetta Pilato,,ITA,22/05/2021
world,,junior,14-17,female,50m,butterfly,100m,56.33,Mizuki Hirai,,JPN,22/06/2024
world,,junior,14-17,female,50m,butterfly,200m,02:03.03,Summer Mcintosh,,CAN,01/08/2024
world,,junior,14-17,female,50m,butterfly,50m,25.46,Rikako Ikee,,JPN,26/08/2017
world,,junior,14-17,female,50m,freestyle,100m,52.70,Penny Oleksiak,,CAN,11/08/2016
world,,junior,14-17,female,50m,freestyle,1500m,15:28.36,Katie Ledecky,,USA,24/08/2014
world,,junior,14-17,female,50m,freestyle,200m,01:53.65,Summer Mcintosh,,CAN,26/07/2023
world,,junior,14-17,female,50m,freestyle,400m,03:56.08,Summer Mcintosh,,CAN,28/03/2023
world,,junior,14-17,female,50m,freestyle,4X100m,03:35.53,United States of America,,USA,23/08/2025
world,,junior,14-17,female,50m,freestyle,4X200m,07:51.47,Canada,,CAN,23/08/2017
world,,junior,14-17,female,50m,freestyle,50m,24.17,Claire Curzan,,USA,14/05/2021
world,,junior,14-17,female,50m,freestyle,800m,08:11.00,Katie Ledecky,,USA,19/06/2014
world,,junior,14-17,female,50m,individual_medley,200m,02:06.56,Summer Mcintosh,,CAN,03/08/2024
world,,junior,14-17,female,50m,individual_medley,400m,04:24.38,Summer Mcintosh,,CAN,16/05/2024
world,,junior,14-17,female,50m,individual_medley,4X100m,03:58.38,Canada,,CAN,28/08/2017
world,,junior,14-18,mixed,25m,individual_medley,4X50m,01:41.21,United States of America,,USA,09/10/2021
world,,junior,14-18,mixed,50m,freestyle,4X100m,03:23.96,Individual Neutral Athlete,,AIN,08/07/2026
world,,junior,14-18,mixed,50m,freestyle,4X100m,03:24.29,Australia,,AUS,06/09/2023
world,,junior,14-18,mixed,50m,individual_medley,4X100m,03:44.84,United States of America,,USA,21/08/2019
world,,junior,15-18,male,25m,backstroke,100m,48.76,Miron Lifintsev,,NAB,11/12/2024
world,,junior,15-18,male,25m,backstroke,200m,01:47.89,John Shortt,,IRL,03/12/2025
world,,junior,15-18,male,25m,backstroke,50m,22.47,Miron Lifintsev,,NAB,13/12/2024
world,,junior,15-18,male,25m,breaststroke,100m,56.35,Yusei Imaizumi,,CLB,04/09/2026
world,,junior,15-18,male,25m,breaststroke,100m,56.65,Shin Ohashi,,JPN,30/03/2026
world,,junior,15-18,male,25m,breaststroke,200m,02:01.24,Shin Ohashi,,JPN,29/03/2026
world,,junior,15-18,male,25m,breaststroke,50m,25.66,Chris Smith,,RSA,14/12/2024
world,,junior,15-18,male,25m,butterfly,100m,49.03,Ilya Kharun,,CAN,18/12/2022
world,,junior,15-18,male,25m,butterfly,200m,01:49.61,Juner Chen,,CHN,28/10/2022
world,,junior,15-18,male,25m,butterfly,50m,22.28,Ilya Kharun,,CAN,13/12/2022
world,,junior,15-18,male,25m,butterfly,50m,22.28,Ilya Kharun,,CAN,14/12/2022
world,,junior,15-18,male,25m,freestyle,100m,45.64,David Popovici,,ROU,15/12/2022
world,,junior,15-18,male,25m,freestyle,1500m,14:20.64,Kuzey Tuncelli,,TUR,10/12/2024
world,,junior,15-18,male,25m,freestyle,200m,01:40.65,Matthew Sates,,RSA,03/10/2021
world,,junior,15-18,male,25m,freestyle,400m,03:36.57,Grigorii Vekovishchev,,RUS,09/11/2025
world,,junior,15-18,male,25m,freestyle,50m,20.81,Nikita Sheremet,,UKR,07/12/2025
world,,junior,15-18,male,25m,freestyle,800m,07:30.47,Johannes Wilhel Liebmann,,GER,06/12/2025
world,,junior,15-18,male,25m,individual_medley,100m,50.63,Kliment Kolesnikov,,RUS,14/12/2018
world,,junior,15-18,male,25m,individual_medley,200m,01:51.45,Matthew Sates,,RSA,02/10/2021
world,,junior,15-18,male,25m,individual_medley,400m,03:56.47,Ilia Borodin,,RSF,20/12/2021
