RegionType,RegionCode,Category,AgeKey,Gender,PoolType,Style,Distance,Time,HolderName,Club,HolderCountry,RecordDate
world,,masters,100-104,female,25m,backstroke,100m,02:55.51,KORNFELD Maurine,,USA,03/10/2021
world,,masters,100-104,female,25m,backstroke,200m,06:22.14,KORNFELD Maurine,,USA,03/10/2021
world,,masters,100-104,female,25m,backstroke,50m,01:21.46,BRUSSEL Betty,,CAN,11/02/2024
world,,masters,100-104,female,25m,breaststroke,100m,04:24.82,RASMUSSEN Kalis,,CAN,20/04/2024
world,,masters,100-104,female,25m,breaststroke,200m,09:24.24,RASMUSSEN Kalis,,CAN,20/04/2024
world,,masters,100-104,female,25m,breaststroke,50m,01:56.99,BRUSSEL Betty,,CAN,21/04/2024
world,,masters,100-104,female,25m,freestyle,100m,02:47.07,BRUSSEL Betty,,CAN,02/03/2024
world,,masters,100-104,female,25m,freestyle,1500m,01:15:54.3,NAGAOKA Mieko,,JPN,04/04/2015
world,,masters,100-104,female,25m,freestyle,200m,06:01.04,BRUSSEL Betty,,CAN,02/03/2024
world,,masters,100-104,female,25m,freestyle,400m,12:23.26,BRUSSEL Betty,,CAN,11/02/2024
world,,masters,100-104,female,25m,freestyle,50m,01:13.16,BRUSSEL Betty,,CAN,02/03/2024
world,,masters,100-104,female,25m,freestyle,800m,26:17.29,BRUSSEL Betty,,CAN,21/04/2024
world,,masters,100-104,female,25m,individual_medley,100m,04:55.52,RASMUSSEN Kalis,,CAN,30/11/2024
world,,masters,100-104,female,50m,backstroke,100m,03:04.26,KORNFELD Maurine,,USA,31/07/2021
world,,masters,100-104,female,50m,backstroke,200m,06:40.62,KORNFELD Maurine,,USA,11/07/2021
world,,masters,100-104,female,50m,backstroke,50m,01:24.91,BRUSSEL Betty,,CAN,20/01/2024
world,,masters,100-104,female,50m,breaststroke,50m,01:56.22,BRUSSEL Betty,,CAN,20/01/2024
world,,masters,100-104,female,50m,freestyle,100m,02:52.45,KORNFELD Maurine,,USA,11/07/2021
world,,masters,100-104,female,50m,freestyle,1500m,01:14:08.7,NAGAOKA Mieko,,JPN,14/06/2014
world,,masters,100-104,female,50m,freestyle,200m,06:33.32,KORNFELD Maurine,,USA,31/07/2021
world,,masters,100-104,female,50m,freestyle,400m,12:50.30,BRUSSEL Betty,,CAN,20/01/2024
world,,masters,100-104,female,50m,freestyle,50m,01:12.84,KORNFELD Maurine,,USA,31/07/2021
world,,masters,100-104,female,50m,freestyle,800m,38:04.30,NAGAOKA Mieko,,JPN,15/06/2014
world,,masters,100-104,male,25m,backstroke,100m,02:22.95,BIEDERMANN Anton Karl,,BRA,07/12/2024
world,,masters,100-104,male,25m,backstroke,200m,05:09.10,LAMB Willard,,USA,13/03/2022
world,,masters,100-104,male,25m,backstroke,50m,01:07.11,LAMB Willard,,USA,12/03/2022
world,,masters,100-104,male,25m,breaststroke,50m,01:52.04,LAMB Willard,,USA,13/03/2022
