RegionType,RegionCode,Category,AgeKey,Gender,PoolType,Style,Distance,Time,HolderName,Club,HolderCountry,RecordDate
country,AFG,open,,male,25m,breaststroke,50m,31.46,Fahim Anwari,,AFG,29/10/2021
country,AFG,open,,male,25m,butterfly,100m,01:05.15,Fahim Anwari,,AFG,28/10/2021
country,AFG,open,,male,25m,butterfly,50m,28.48,Fahim Anwari,,AFG,13/12/2022
country,AFG,open,,male,25m,freestyle,100m,01:04.45,Ali Reza Nasiri,,AFG,25/09/2017
country,AFG,open,,male,25m,freestyle,50m,27.30,Fahim Anwari,,AFG,16/12/2022
country,AFG,open,,male,50m,backstroke,100m,01:19.90,Ali Reza Nasiri,,AFG,06/02/2016
country,AFG,open,,male,50m,backstroke,50m,35.14,Hussain Mohammadi,,AFG,16/08/2022
country,AFG,open,,male,50m,breaststroke,100m,01:10.62,Fahim Anwari,,AFG,27/07/2025
country,AFG,open,,male,50m,breaststroke,50m,30.98,Fahim Anwari,,AFG,25/07/2026
country,AFG,open,,male,50m,butterfly,100m,01:05.12,Fahim Anwari,,AFG,01/06/2024
country,AFG,open,,male,50m,butterfly,50m,28.45,Fahim Anwari,,AFG,28/09/2023
country,AFG,open,,male,50m,freestyle,100m,57.68,M SEDIQ Mateen,,AFG,19/07/2026
country,AFG,open,,male,50m,freestyle,1500m,16:45.87,M SEDIQ Mateen,,AFG,26/04/2026
country,AFG,open,,male,50m,freestyle,200m,01:57.95,M SEDIQ Mateen,,AFG,19/07/2026
country,AFG,open,,male,50m,freestyle,400m,04:11.22,M SEDIQ Mateen,,AFG,17/07/2026
country,AFG,open,,male,50m,freestyle,4X100m,04:42.51,"Ali Reza Nasiri, Hamid Rahimi, Mohammad Ibrahim Rajabi, Mohammad Jawad",,AFG,06/02/2016
country,AFG,open,,male,50m,freestyle,50m,25.88,M SEDIQ Mateen,,AFG,22/04/2026
country,AFG,open,,male,50m,freestyle,800m,08:38.17,M SEDIQ Mateen,,AFG,22/04/2026
country,AFG,open,,male,50m,individual_medley,4X100m,05:09.03,"Ali Reza Nasiri, Hamid Rahimi, Mohammad Ibrahim Rajabi, Mohammad Jawad",,AFG,10/02/2016
country,AGU,open,,female,50m,backstroke,50m,41.73,Zuri Babrow,,AGU,19/04/2025
country,AGU,open,,female,50m,breaststroke,100m,01:47.33,Zuri Babrow,,AGU,22/04/2025
country,AGU,open,,female,50m,breaststroke,50m,46.47,Zuri Babrow,,AGU,21/04/2025
country,AGU,open,,female,50m,butterfly,50m,40.35,Zuri Babrow,,AGU,20/04/2025
country,AGU,open,,female,50m,freestyle,100m,01:20.62,Zuri Babrow,,AGU,21/04/2025
country,AGU,open,,female,50m,freestyle,50m,37.02,Zuri Babrow,,AGU,02/04/2024
country,AGU,open,,male,25m,backstroke,100m,01:03.42,Alexander Mitchelle Fleming Lake,,AGU,08/12/2023
country,AGU,open,,male,25m,backstroke,200m,02:10.63,Alexander Mitchelle Fleming Lake,,AGU,08/12/2023
country,AGU,open,,male,25m,backstroke,50m,28.36,Alexander Mitchelle Fleming Lake,,AGU,09/12/2023
country,AGU,open,,male,25m,freestyle,100m,54.06,Alexander Mitchelle Fleming Lake,,AGU,08/12/2023
country,AGU,open,,male,25m,freestyle,200m,01:59.57,Alexander Mitchelle Fleming Lake,,AGU,09/12/2023
country,AGU,open,,male,25m,freestyle,50m,26.20,Alexander Mitchelle Fleming Lake,,AGU,08/12/2023
country,AGU,open,,male,50m,backstroke,50m,30.89,Alexander Mitchelle Fleming Lake,,AGU,29/07/2023
country,AGU,open,,male,50m,breaststroke,100m,01:19.00,Alexander Mitchelle Fleming Lake,,AGU,30/07/2022
country,AGU,open,,male,50m,breaststroke,50m,35.31,Alexander Mitchelle Fleming Lake,,AGU,08/04/2023
country,AGU,open,,male,50m,butterfly,50m,39.05,Jonathan Irizarry,,AGU,28/07/2026
country,AGU,open,,male,50m,freestyle,100m,01:00.36,Alexander Mitchelle Fleming Lake,,AGU,31/07/2022
country,AGU,open,,male,50m,freestyle,50m,26.23,Alexander Mitchelle Fleming Lake,,AGU,28/07/2023
country,ALB,open,,female,25m,backstroke,100m,01:05.48,Luna Djarmati,,ALB,04/12/2025
country,ALB,open,,female,25m,backstroke,200m,02:22.36,Vivian Xhemollari,,ALB,06/12/2023
country,ALB,open,,female,25m,backstroke,50m,30.19,Luna Djarmati,,ALB,06/12/2025
country,ALB,open,,female,25m,breaststroke,100m,01:12.59,Stella Gjoka,,ALB,02/12/2025
country,ALB,open,,female,25m,breaststroke,200m,02:43.53,Telma Hashorva,,ALB,15/11/2020
country,ALB,open,,female,25m,breaststroke,50m,32.40,Stella Gjoka,,ALB,06/12/2025
country,ALB,open,,female,25m,butterfly,100m,01:04.19,Nikol Merizaj,,ALB,07/12/2019
country,ALB,open,,female,25m,butterfly,200m,02:33.77,Diana Basho,,ALB,03/12/2014
country,ALB,open,,female,25m,butterfly,50m,27.03,Nikol Merizaj,,ALB,18/12/2021
country,ALB,open,,female,25m,freestyle,100m,58.21,Nikol Merizaj,,ALB,05/12/2019
country,ALB,open,,female,25m,freestyle,1500m,17:59.34,Sara Dande,,ALB,04/11/2021
country,ALB,open,,female,25m,freestyle,200m,02:10.75,Kaltra Meca,,ALB,18/12/2022
country,ALB,open,,female,25m,freestyle,400m,04:31.99,Kaltra Meca,,ALB,13/12/2022
country,ALB,open,,female,25m,freestyle,4X50m,01:50.11,"Arla Dermishi, Kejsi Hoti, Luna Djarmati, Stella Gjoka",,ALB,02/12/2025
country,ALB,open,,female,25m,freestyle,50m,25.40,Nikol Merizaj,,ALB,20/12/2021
country,ALB,open,,female,25m,freestyle,800m,09:24.86,Kaltra Meca,,ALB,14/11/2020
country,ALB,open,,female,25m,individual_medley,100m,01:05.59,Nikol Merizaj,,ALB,05/12/2019
country,ALB,open,,female,25m,individual_medley,200m,02:24.25,Vivian Xhemollari,,ALB,08/12/2023
country,ALB,open,,female,25m,individual_medley,400m,05:03.27,Vivian Xhemollari,,ALB,05/12/2023
country,ALB,open,,female,50m,backstroke,100m,01:07.17,Luna Djarmati,,ALB,15/03/2026
country,ALB,open,,female,50m,backstroke,200m,02:23.97,Vivian Xhemollari,,ALB,12/05/2024
country,ALB,open,,female,50m,backstroke,50m,29.86,Nikol Merizaj,,ALB,30/05/2026
country,ALB,open,,female,50m,breaststroke,100m,01:14.57,Stella Gjoka,,ALB,11/08/2026
country,ALB,open,,female,50m,breaststroke,200m,02:53.17,Telma Hashorva,,ALB,08/07/2021
country,ALB,open,,female,50m,breaststroke,50m,33.01,Stella Gjoka,,ALB,18/04/2026
country,ALB,open,,female,50m,butterfly,100m,01:01.31,Nikol Merizaj,,ALB,14/02/2025
