RegionType,RegionCode,Category,AgeKey,Gender,PoolType,Style,Distance,Time,HolderName,Club,HolderCountry,RecordDate
country,ISR,open,,female,25m,backstroke,100m,56.73,Anastasia Gorbenko,,ISR,26/12/2025
country,ISR,open,,female,25m,backstroke,200m,02:05.36,Anastasia Gorbenko,,ISR,25/11/2021
country,ISR,open,,female,25m,backstroke,50m,26.63,Anastasia Gorbenko,,ISR,01/10/2021
country,ISR,open,,female,25m,breaststroke,100m,01:03.90,Anastasia Gorbenko,,ISR,03/12/2025
country,ISR,open,,female,25m,breaststroke,200m,02:19.22,Anastasia Gorbenko,,ISR,09/09/2021
country,ISR,open,,female,25m,breaststroke,50m,29.34,Anastasia Gorbenko,,ISR,17/12/2021
country,ISR,open,,female,25m,butterfly,100m,56.75,Amit Ivry,,ISR,24/12/2014
country,ISR,open,,female,25m,butterfly,200m,02:09.69,Keren Michaela Siebner,,ISR,16/12/2015
country,ISR,open,,female,25m,butterfly,50m,25.69,Amit Ivry,,ISR,11/12/2009
country,ISR,open,,female,25m,freestyle,100m,52.16,Andrea Murez,,ISR,09/11/2020
country,ISR,open,,female,25m,freestyle,1500m,16:31.53,Emily Golos,,ISR,23/12/2025
country,ISR,open,,female,25m,freestyle,200m,01:53.50,Andrea Murez,,ISR,16/11/2020
country,ISR,open,,female,25m,freestyle,400m,04:07.21,Andrea Murez,,ISR,07/11/2015
country,ISR,open,,female,25m,freestyle,4X100m,03:49.59,"Keren Michaela Siebner, Maya Bachar, Tali Lemcoff, Zohar Shikler",,ISR,06/12/2014
country,ISR,open,,female,25m,freestyle,4X200m,08:40.35,,,ISR,05/03/1999
country,ISR,open,,female,25m,freestyle,4X50m,01:38.53,"Amit Ivry, Andrea Murez, Keren Michaela Siebner, Zohar Shikler",,ISR,04/12/2015
country,ISR,open,,female,25m,freestyle,50m,24.53,Anastasia Gorbenko,,ISR,21/08/2020
country,ISR,open,,female,25m,freestyle,800m,08:28.29,Olga Beresnyeva,,ISR,22/01/2005
country,ISR,open,,female,25m,individual_medley,100m,57.17,Anastasia Gorbenko,,ISR,04/12/2025
country,ISR,open,,female,25m,individual_medley,200m,02:04.93,Anastasia Gorbenko,,ISR,19/10/2025
country,ISR,open,,female,25m,individual_medley,400m,04:32.67,Anastasia Gorbenko,,ISR,25/10/2020
country,ISR,open,,female,25m,individual_medley,4X100m,04:09.21,"Anastasia Korotkov, Anna Gostomelsky, Annaelle Wolfman, Keren Michaela Siebner",,ISR,15/02/2014
country,ISR,open,,female,25m,individual_medley,4X50m,01:50.51,"Amit Ivry, Andrea Murez, Keren Michaela Siebner, Zohar Shikler",,ISR,06/12/2015
country,ISR,open,,female,50m,backstroke,100m,59.25,Anastasia Gorbenko,,ISR,22/05/2025
country,ISR,open,,female,50m,backstroke,200m,02:08.54,Anastasia Gorbenko,,ISR,29/05/2024
